2825297;2;Stuttgart;597939
1850147;+9;Tokyo;9357221
3143244;+2;Oslo;618683
5128581;-4;New York;18897109
7302538;+2;Cape Town;987007
5856195;-10;Honolulu;374658
3451190;-3;Rio de Janeiro;6429923
745044;+3;Istanbul;14657434
2158177;+10;Melbourne;4250000
1705545;-7;Los Angeles;3928864
1445156;+8;Singapur;5498000
2988507;+2;Paris;2229621
524901;+3;Moscow;12197596
1796236;+8;Shanghai;23019148
2643743;+1;London;8538689 
2950159;+2;Berlin;3520031
3128760;+2;Barcelona;1604555
6167865;-4;Toronto;2615060 
3435910;-3;Buenos Aires;2890151
360630;+2;Cairo;10230350
3530597;-5;Mexico City;8851080
3871336;-3;Santiago;6492395
